dataset,protein_id,beta_param_1,beta_param_2,beta_param_3,melt_point,rmse
Arabidopsis_thaliana_seedling_lysate,A1L4X7_AHL14,1.21065332672346,-29.425532678517,-37.1440189267441,49.2923,0.124753514290814
Arabidopsis_thaliana_seedling_lysate,A2RVK7_RRP41L,1.19219442722553,-29.1927635207791,-36.6140051217957,47.9888,0.162028555023334
Arabidopsis_thaliana_seedling_lysate,A3KPF5_PDIL1-5,1.02875489357787,-26.1880188300654,-36.893723447964,65.0527,0.160470863982623
Arabidopsis_thaliana_seedling_lysate,A4GNA8_PSD3,1.08384947461138,-26.9011567443337,-31.7400520729311,37.5792,0.0621916038064614
Arabidopsis_thaliana_seedling_lysate,A4GSN8_NUA,1.01006103954227,-25.7980976307047,-34.7930539522617,53.776,0.10111660489481
Arabidopsis_thaliana_seedling_lysate,A7WM73_HEXO1,1.28676650377065,-28.8813066325416,-35.13950789934,43.6335,0.189404671366365
Arabidopsis_thaliana_seedling_lysate,A8MS68_LPD1,0.742865811101446,-12.5576212977104,-69.4845566431973,NaN,0.501222257114977
Arabidopsis_thaliana_seedling_lysate,A8R7K9_VPS35C,1.18267005343048,-27.7859078034239,-33.1652281040202,39.9464,0.0744857591925609
Arabidopsis_thaliana_seedling_lysate,B0F481_BIO3-BIO1,1.10201645805398,-27.9914277176783,-34.8302429578015,44.9793,0.128457240985051
Arabidopsis_thaliana_seedling_lysate,B0F9L4_GC6,1.05926658593657,-26.5628873651635,-31.2673377607025,36.8945,0.0787778343936647
Arabidopsis_thaliana_seedling_lysate,B3H5K9_NEDD1,1.26079586099121,-28.937956686497,-35.4858911932992,44.6517,0.150066553042135
Arabidopsis_thaliana_seedling_lysate,B3LFA4_At5g38830,1.0816641754619,-27.0826943117188,-32.3781251903699,39.0947,0.0554210387828459
Arabidopsis_thaliana_seedling_lysate,B9DFI7_At1g26850,1.01977909169082,-26.3841434524464,-32.0085860317802,39.5568,0.0634306964988721
Arabidopsis_thaliana_seedling_lysate,B9DFK5_RE,1.03902807072399,-26.2151499300859,-30.6831891492748,35.9156,0.0317566304649428
