dataset,protein_id,beta_param_1,beta_param_2,beta_param_3,melt_point,t_opt,rmse,fn_th
Arabidopsis_thaliana_seedling_lysate,A1L4X7_AHL14,1.21065332672346,-29.425532678517,-37.1440189267441,49.2923,29.425532678517,0.124753514290814,0.274570106536483
Arabidopsis_thaliana_seedling_lysate,A2RVK7_RRP41L,1.19219442722553,-29.1927635207791,-36.6140051217957,47.9888,29.1927635207791,0.162028555023334,0.24486499735426
Arabidopsis_thaliana_seedling_lysate,A3KPF5_PDIL1-5,1.02875489357787,-26.1880188300654,-36.893723447964,65.0527,26.1880188300654,0.160470863982623,0.469732273522217
Arabidopsis_thaliana_seedling_lysate,A4GNA8_PSD3,1.08384947461138,-26.9011567443337,-31.7400520729311,37.5792,26.9011567443337,0.0621916038064614,0.0514990679609457
Arabidopsis_thaliana_seedling_lysate,A4GSN8_NUA,1.01006103954227,-25.7980976307047,-34.7930539522617,53.776,25.7980976307047,0.10111660489481,0.338108196406205
Arabidopsis_thaliana_seedling_lysate,A7WM73_HEXO1,1.28676650377065,-28.8813066325416,-35.13950789934,43.6335,28.8813066325416,0.189404671366365,0.16087371479556
Arabidopsis_thaliana_seedling_lysate,A8MS68_LPD1,0.742865811101446,-12.5576212977104,-69.4845566431973,NaN,NaN,0.501222257114977,NaN
Arabidopsis_thaliana_seedling_lysate,A8R7K9_VPS35C,1.18267005343048,-27.7859078034239,-33.1652281040202,39.9464,27.7859078034239,0.0744857591925609,0.0866622722891226
Arabidopsis_thaliana_seedling_lysate,B0F481_BIO3-BIO1,1.10201645805398,-27.9914277176783,-34.8302429578015,44.9793,27.9914277176783,0.128457240985051,0.182028693666316
Arabidopsis_thaliana_seedling_lysate,B0F9L4_GC6,1.05926658593657,-26.5628873651635,-31.2673377607025,36.8945,26.5628873651635,0.0787778343936647,0.0445177014406922
Arabidopsis_thaliana_seedling_lysate,B3H5K9_NEDD1,1.26079586099121,-28.937956686497,-35.4858911932992,44.6517,28.937956686497,0.150066553042135,0.181768880882742
Arabidopsis_thaliana_seedling_lysate,B3LFA4_At5g38830,1.0816641754619,-27.0826943117188,-32.3781251903699,39.0947,27.0826943117188,0.0554210387828459,0.0750058362421282
Arabidopsis_thaliana_seedling_lysate,B9DFI7_At1g26850,1.01977909169082,-26.3841434524464,-32.0085860317802,39.5568,26.3841434524464,0.0634306964988721,0.090121106595296
Arabidopsis_thaliana_seedling_lysate,B9DFK5_RE,1.03902807072399,-26.2151499300859,-30.6831891492748,35.9156,26.2151499300859,0.0317566304649428,0.0343910164361464
Arabidopsis_thaliana_seedling_lysate,B9DFS6_SNX2B,1.18943433055172,-28.1201083964274,-34.1405912824487,42.2443,28.1201083964274,0.113324760018138,0.131253187441673
Arabidopsis_thaliana_seedling_lysate,B9DFX7_PAA2,1.00835861122798,-23.442167352104,-30.1792956835915,41.7021,23.442167352104,0.0470154957340321,0.175117086583562
Arabidopsis_thaliana_seedling_lysate,B9DGD6_ACS,1.19778786659461,-27.9932347604191,-33.4861224110909,40.4686,27.9932347604191,0.139463700996262,0.0950070759894203
Arabidopsis_thaliana_seedling_lysate,C0LGG8_At1g53430,1.1223754086666,-29.9180284734588,-39.7836917269477,59.2716,29.9180284734588,0.138611539262843,0.4275415536772
Arabidopsis_thaliana_seedling_lysate,C0LGG9_At1g53440,1.0593716544794,-27.5618129056513,-34.1145862356821,43.6339,27.5618129056513,0.12814727142257,0.154618648241514
Arabidopsis_thaliana_seedling_lysate,C0LGQ9_At4g20940,0.970700077496892,-25.6946828050981,-32.274221867468,42.4201,25.6946828050981,0.118823081209176,0.147720285038395
Arabidopsis_thaliana_seedling_lysate,C0LU16_MED21,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Arabidopsis_thaliana_seedling_lysate,C0Z361_CPN60B3,2.19552285766274,-0.471818294091693,-0.841238660518671,NaN,NaN,0.15438850604479,NaN
Arabidopsis_thaliana_seedling_lysate,D9UBX6_RTM2,1.04536198291261,-22.2679885793653,-28.9974399828292,41.0945,22.2679885793653,0.0776974214697717,0.188971154603738
Arabidopsis_thaliana_seedling_lysate,F4HNU6_At1g06900,1.13915992442926,-28.4789147446304,-35.1915127473891,44.8786,28.4789147446304,0.135733767321313,0.177450760151357
Arabidopsis_thaliana_seedling_lysate,F4HRT5_CRWN1,3.73218886125585,-1.20214215287088,-1.97103025097858,NaN,NaN,0.14921091423855,NaN
Arabidopsis_thaliana_seedling_lysate,F4HTM3_GCS1,1.08484546923805,-28.1621554737482,-36.1274982326573,49.5455,28.1621554737482,0.0825032347336134,0.267954496080044
Arabidopsis_thaliana_seedling_lysate,F4HTT6_CYP26-2,1.10283232976617,-28.5933486289562,-35.7521547033531,46.5876,28.5933486289562,0.176456329357816,0.206356006898396
Arabidopsis_thaliana_seedling_lysate,F4HWL4_At1g28350,1.00272916746831,-27.6401381751617,-35.1114011202236,47.1846,27.6401381751617,0.150149492854149,0.212145861714862
Arabidopsis_thaliana_seedling_lysate,F4HXV6_NUP155,0.987554779888196,-24.8401132187586,-30.7075194462377,39.1887,24.8401132187586,0.0564971954375608,0.105185984326393
Arabidopsis_thaliana_seedling_lysate,F4HYF3_DCD,1.22680263391435,-28.8297577865415,-35.4541798996564,44.8325,28.8297577865415,0.138155063350861,0.183316471342089
Arabidopsis_thaliana_seedling_lysate,F4I116_At1g09620,1.07489990165352,-26.6732380900828,-31.0929125746136,36.1915,26.6732380900828,0.0832227236975104,0.0334780427505211
Arabidopsis_thaliana_seedling_lysate,F4I1T7_NUP214,1.10708179457858,-0.514659335368117,-1.01103768174666,NaN,NaN,0.297041308079294,NaN
Arabidopsis_thaliana_seedling_lysate,F4I3B3_RBP47A,2.15919936182099,-9.09130443813083,-12.9791191025044,NaN,NaN,0.138837583033561,NaN
Arabidopsis_thaliana_seedling_lysate,F4I6M1_POLIA,11.1728969899033,-1.0852442817948,-1.63252179604865,NaN,NaN,0.0867397759153694,NaN
Arabidopsis_thaliana_seedling_lysate,F4I7I0_ALAAT1,1.11087681240753,-28.7745615771569,-36.5966585038425,49.3011,28.7745615771569,0.107925922663159,0.261280083751124
Arabidopsis_thaliana_seedling_lysate,F4I893_ILA,1.04892639563731,-26.1699861860653,-30.1147349951712,34.4548,26.1699861860653,0.0181844777975125,0.0180467775077314
Arabidopsis_thaliana_seedling_lysate,F4I8B9_At1g65010,0.887380265685917,-51.8234639686682,-152.271792831621,NaN,NaN,0.240788291684416,NaN
Arabidopsis_thaliana_seedling_lysate,F4I907_GLYR2,1.11353465925382,-27.0949942048253,-31.9546318276781,37.8091,27.0949942048253,0.0475522456743013,0.0537963223454005
Arabidopsis_thaliana_seedling_lysate,F4IAG2_SS3,1.06860824945603,-27.0196954802838,-32.4234944019859,39.376,27.0196954802838,0.0727553794939827,0.0803309094386399
Arabidopsis_thaliana_seedling_lysate,F4ICK8_IWS1,1.09910876690772,-30.6104422239776,-43.7741995859043,81.3655,30.6104422239776,0.165308280033403,0.637477757894935
Arabidopsis_thaliana_seedling_lysate,F4ICX9_TSA1,1.05477309341607,-27.5825281591493,-34.9639763538109,46.7866,27.5825281591493,0.0966326087153467,0.216316422697284
Arabidopsis_thaliana_seedling_lysate,F4IEY4_At1g72740,1.49907162023764,-28.9939070399183,-34.8158331235883,42.3255,28.9939070399183,0.270776986058183,0.146650596411528
Arabidopsis_thaliana_seedling_lysate,F4IFC5_EMB2761,1.12294377729369,-27.215816065943,-32.1886090292508,38.2438,27.215816065943,0.0531894656045058,0.0599035033963239
Arabidopsis_thaliana_seedling_lysate,F4IG73_BCHC2,0.998783749543318,-24.6935108433632,-29.4858672469385,35.5362,24.6935108433632,0.0523399201930785,0.0476193922578722
Arabidopsis_thaliana_seedling_lysate,F4IGA5_NUP133,1.06908759766432,-27.4650391695892,-33.5952150455301,42.0916,27.4650391695892,0.120160447032154,0.126124600611742
Arabidopsis_thaliana_seedling_lysate,F4IHS2_SYD,0.925339222154333,-24.0879144306506,-96.4020269746843,NaN,NaN,0.377655334258587,NaN
Arabidopsis_thaliana_seedling_lysate,F4IHY7_PTAC12,1.06427237238376,-5.275754935871,-54.8275106407781,NaN,NaN,0.730954881264592,NaN
Arabidopsis_thaliana_seedling_lysate,F4IIM1_CSI1,1.06079455868004,-26.7005302866363,-31.6117542010767,37.6152,26.7005302866363,0.0550597522715581,0.0539589213170439
Arabidopsis_thaliana_seedling_lysate,F4IIS5_KIN5A,1.01089800287111,-22.7198293659687,-28.5884541189677,37.7047,22.7198293659687,0.0769468975476617,0.115720821890774
Arabidopsis_thaliana_seedling_lysate,F4IKM1_At2g29340,1.07428184174375,-29.5955284381558,-38.9386636513928,56.5224,29.5955284381558,0.138685868717888,0.370468984699506
Arabidopsis_thaliana_seedling_lysate,F4IN23_BZIP34,1.00242565201479,-26.0619405895672,-33.8933346429498,47.8901,26.0619405895672,0.126428391751555,0.244584974279833
Arabidopsis_thaliana_seedling_lysate,F4IPY2_SYCO,1.16658161425567,-28.3605776873349,-34.6599622805967,43.3605,28.3605776873349,0.139518598040396,0.149354109125827
Arabidopsis_thaliana_seedling_lysate,F4IQK5_At2g18540,1.1373097708622,-29.9039314879106,-40.5823700267226,63.8019,29.9039314879106,0.20118200125079,0.495576370181873
Arabidopsis_thaliana_seedling_lysate,F4IRR2_SAD2,1.05522450683651,-26.7005679149797,-31.9476928942679,38.6241,26.7005679149797,0.0613632589438255,0.0708884947259155
Arabidopsis_thaliana_seedling_lysate,F4ISY0_At2g38370,1.61462339953204,-0.491864630981595,-0.898928809565492,33.5811,0.491864630981595,0.217637622898389,0.692859186541503
Arabidopsis_thaliana_seedling_lysate,F4IUX6_UPF2,1.05102284945085,-26.7535077826614,-32.0841520004951,38.9262,26.7535077826614,0.0792663363042604,0.0751555478471212
Arabidopsis_thaliana_seedling_lysate,F4IW10_MEFG2,1.08216424175562,-27.1581233263056,-32.6223955478794,39.6799,27.1581233263056,0.0549759794494925,0.0847887144750987
Arabidopsis_thaliana_seedling_lysate,F4IW47_TKL-2,1.01669073049003,-26.5237216963146,-32.309028739942,40.1974,26.5237216963146,0.0701835787075351,0.0993725513489088
Arabidopsis_thaliana_seedling_lysate,F4IXW2_BIG5,1.17209622356964,-27.5818580071856,-32.7618108585329,39.1722,27.5818580071856,0.0500439852207867,0.0739548327544182
Arabidopsis_thaliana_seedling_lysate,F4IYF8_At3g02760,1.09347282496783,-27.3399994581113,-32.9782240387281,40.3783,27.3399994581113,0.057864828447905,0.0962313913201133
Arabidopsis_thaliana_seedling_lysate,F4IYM4_DEX1,1.08908966590098,-28.0101653559866,-34.7425760438204,44.6059,28.0101653559866,0.108046274672151,0.171752788375102
Arabidopsis_thaliana_seedling_lysate,F4IZR5_XPO1B,1.08534811943637,-26.6007737077791,-30.824969741659,35.5927,26.6007737077791,0.0296259976206538,0.0268887791969944
Arabidopsis_thaliana_seedling_lysate,F4J1H7_TRZ4,1.09424104255318,-28.4224402885976,-35.7307882545172,47.04,28.4224402885976,0.108404541283545,0.216810687248505
Arabidopsis_thaliana_seedling_lysate,F4J2Z7_SDR4,1.07395543135602,-27.3159766936166,-33.1568801305517,41.012,27.3159766936166,0.0770249151038562,0.107447401450524
